Appetizers,,,,,Food Category
Small Nachos ,$6.50,,,,Single item
Large Nachos,$7.50,,,,Single item
Cheese Bread,$6.50,,,,Single item
Add Sauce,$1.00,,,,Single item
Plain Garlic Bread,$3.50,,,,Single item
Breadsticks,$4.75,,,,Single item
Cheese Curds,$7.00,,,,Single item
Mozzarella Sticks,$7.50,,,,Single item
Jalapeno Poppers,$7.50,,,,Single item
French Fries,$4.00,,,,Single item
Chicken Wings,$10.00,,,,Single item
Chicken Strip Basket and Fries,$9.00,,,,Single item
PopCorn Chicken,$5.50,,,,Single item
Salads,,,,,Food Category
Small Antipasto,$10.25,,,,Single item
Large Antipasto,$11.25,,,,Single item
Small Taco Salad,$10.50,,,,Single item
Large Taco Salad,$11.50,,,,Single item
Dinner Salad,$3.00,,,,Single item
Pasta,,,,,Food Category
All pasa meals are served warm buttered bread.,,,,,Description
Large Portion are served with a dinner salad.,,,,,Description
Chicken Parmesan,$10.00,,,,Single item
Ravioli (with beef),$8.75,,,,Single item
Mostaccioli,$9.50,,,,Single item
Small Lasagna,$6.00,,,,Single item
Large Lassgna,$8.50,,,,Single item
Small Spaghetti,$6.25,,,,Single item
Large Spaghetti,$8.25,,,,Single item
additional meatball,$0.75,,,,Single item
Manicotti,$8.75,,,,Single item
Chicken Alfredo,$10.25,,,,Single item
Substitute Alfredo Sauce for an additional $2.00.,,,,,Addon
Luigi's Pizza Sauces ,,,,,Food Category
Homemade Spicy Original,,,,,Single item
Homemade Deep Dish Sauce,,,,,Single item
Mild Sauce,,,,,Single item
Alfredo Sauce ,$3.00,,,,Addon
Pizza,,,,,Food Category
,10',"12""","14""",pizzaMenu,Category Pizza
,Small,Medium,Large,pizzaMenu,Pizza listing
Basic Cheese,$9.50,$11.50,$13.50,pizzaMenu,Pizza listing
Think Crust,$1.50,$2.00,$2.50,pizzaMenu,Pizza listing
Caluliflower Crust,$2.25,--,--,pizzaMenu,Pizza listing
Gluten Free Crust,--,$2.00,--,pizzaMenu,Pizza listing
Add a topping,$1.25,$1.50,$1.75,pizzaMenu,Pizza listing
Extra cheese,$1.25,$1.50,$1.75,pizzaMenu,Pizza listing
Pizza Toppings ,,,,,Category
"Pepperoni, Canadian Bacon, Sausage, Hamburger, Sliced Bacon, Salami, Chicken, Shrimp, Onions, Black Olives, Green Olives, Mushrooms, Green Peppers, Pineapple, Broccoli, Diced Tomatoes, Cheddar Cheese.",,,,,toppings
Deep Dish,,,,,Food Category
A deep dish pizza filled with mozzeralla cheese and topped with Luigi's homemade deep dish pizza sauce. Add you choice of toppings for an additional charge.,,,,,Description
